,Model,barred spiral galaxies - f1-score,barred spiral galaxies - precision,barred spiral galaxies - recall,barred spiral galaxies - support,cigar shaped smooth galaxies - f1-score,cigar shaped smooth galaxies - precision,cigar shaped smooth galaxies - recall,cigar shaped smooth galaxies - support,disturbed galaxies - f1-score,disturbed galaxies - precision,disturbed galaxies - recall,disturbed galaxies - support,edge-on galaxies with bulge - f1-score,edge-on galaxies with bulge - precision,edge-on galaxies with bulge - recall,edge-on galaxies with bulge - support,edge-on galaxies without bulge - f1-score,edge-on galaxies without bulge - precision,edge-on galaxies without bulge - recall,edge-on galaxies without bulge - support,in-between round smooth galaxies - f1-score,in-between round smooth galaxies - precision,in-between round smooth galaxies - recall,in-between round smooth galaxies - support,merging galaxies - f1-score,merging galaxies - precision,merging galaxies - recall,merging galaxies - support,round smooth galaxies - f1-score,round smooth galaxies - precision,round smooth galaxies - recall,round smooth galaxies - support,unbarred loose spiral galaxies - f1-score,unbarred loose spiral galaxies - precision,unbarred loose spiral galaxies - recall,unbarred loose spiral galaxies - support,unbarred tight spiral galaxies - f1-score,unbarred tight spiral galaxies - precision,unbarred tight spiral galaxies - recall,unbarred tight spiral galaxies - support,macro avg - f1-score,macro avg - precision,macro avg - recall,macro avg - support,weighted avg - f1-score,weighted avg - precision,weighted avg - recall,weighted avg - support,Accuracy
0,C16,0.8789115646258503,0.847769028871391,0.9124293785310734,354,0.8454258675078865,0.9571428571428572,0.7570621468926554,354,0.49820788530465954,0.6813725490196079,0.3926553672316384,354,0.9196675900277008,0.9021739130434783,0.9378531073446328,354,0.9202279202279201,0.9281609195402298,0.9124293785310734,354,0.845959595959596,0.7648401826484018,0.9463276836158192,354,0.9157303370786517,0.9106145251396648,0.9209039548022598,354,0.8997289972899729,0.8645833333333334,0.9378531073446328,354,0.6506602641056423,0.5657620041753654,0.7655367231638418,354,0.7737003058103977,0.8433333333333334,0.7146892655367232,354,0.8148220327938278,0.8265752646247663,0.819774011299435,3540,0.8148220327938278,0.8265752646247664,0.8197740112994351,3540,0.8197740112994351
1,C2,0.7934336525307797,0.7692307692307693,0.8192090395480226,354,0.7611202635914331,0.9130434782608695,0.652542372881356,354,0.39007092198581567,0.5238095238095238,0.3107344632768362,354,0.8389715832205684,0.8051948051948052,0.8757062146892656,354,0.8703170028818444,0.888235294117647,0.8531073446327684,354,0.8371467025572006,0.7994858611825193,0.8785310734463276,354,0.7950819672131149,0.7698412698412699,0.8220338983050848,354,0.8907563025210085,0.8833333333333333,0.8983050847457628,354,0.5935769656699889,0.48816029143898,0.7570621468926554,354,0.7228177641653905,0.7892976588628763,0.6666666666666666,354,0.7493293126337144,0.7629632285272594,0.7533898305084745,3540,0.7493293126337145,0.7629632285272593,0.7533898305084745,3540,0.7533898305084745
2,C4,0.8335664335664336,0.8254847645429363,0.8418079096045198,354,0.8429237947122862,0.9377162629757786,0.7655367231638418,354,0.521311475409836,0.62109375,0.4491525423728814,354,0.9014084507042253,0.898876404494382,0.903954802259887,354,0.9085794655414908,0.9047619047619048,0.9124293785310734,354,0.8761408083441982,0.8135593220338984,0.9491525423728814,354,0.8673323823109844,0.8760806916426513,0.8587570621468926,354,0.9075862068965518,0.8867924528301887,0.9293785310734464,354,0.6426858513189447,0.5583333333333333,0.7570621468926554,354,0.7590361445783133,0.8129032258064516,0.711864406779661,354,0.8060571013383265,0.8135602112421525,0.807909604519774,3540,0.8060571013383263,0.8135602112421525,0.807909604519774,3540,0.807909604519774
3,C8,0.8662068965517242,0.8463611859838275,0.8870056497175142,354,0.8769230769230769,0.9628378378378378,0.8050847457627118,354,0.503448275862069,0.6460176991150443,0.4124293785310734,354,0.9153005464480874,0.8862433862433863,0.9463276836158192,354,0.9270386266094419,0.9391304347826087,0.9152542372881356,354,0.8694481830417227,0.8303341902313625,0.9124293785310734,354,0.9116022099447514,0.8918918918918919,0.9322033898305084,354,0.9142053445850914,0.9103641456582633,0.9180790960451978,354,0.6479190101237345,0.5383177570093458,0.8135593220338984,354,0.7368421052631579,0.8461538461538461,0.652542372881356,354,0.8168934275352857,0.8297652374907415,0.8194915254237287,3540,0.8168934275352857,0.8297652374907414,0.8194915254237288,3540,0.8194915254237288
4,D16,0.8953168044077136,0.8736559139784946,0.9180790960451978,354,0.8895612708018154,0.9576547231270358,0.8305084745762712,354,0.5507745266781412,0.7048458149779736,0.4519774011299435,354,0.9312762973352033,0.924791086350975,0.9378531073446328,354,0.9273743016759776,0.9171270718232044,0.9378531073446328,354,0.8802083333333333,0.8164251207729468,0.9548022598870056,354,0.90625,0.9114285714285715,0.9011299435028248,354,0.8829071332436069,0.8431876606683805,0.9265536723163842,354,0.7030456852791878,0.6382488479262672,0.7824858757062146,354,0.7470588235294118,0.7791411042944786,0.7175141242937854,354,0.8313773176284391,0.8366505915348327,0.8358757062146893,3540,0.831377317628439,0.8366505915348329,0.8358757062146893,3540,0.8358757062146893
5,D2,0.8238557558945908,0.8092643051771117,0.8389830508474576,354,0.8149300155520994,0.9065743944636678,0.7401129943502824,354,0.42568807339449544,0.6073298429319371,0.327683615819209,354,0.8848167539267016,0.824390243902439,0.9548022598870056,354,0.8914285714285713,0.9017341040462428,0.8813559322033898,354,0.8605577689243028,0.8120300751879699,0.9152542372881356,354,0.8802228412256268,0.8681318681318682,0.8926553672316384,354,0.9013698630136987,0.875,0.9293785310734464,354,0.6276346604215458,0.536,0.7570621468926554,354,0.7300613496932514,0.7986577181208053,0.672316384180791,354,0.7840565653474885,0.7939112551962042,0.7909604519774012,3540,0.7840565653474884,0.7939112551962042,0.7909604519774012,3540,0.7909604519774012
6,D4,0.8487282463186079,0.806615776081425,0.8954802259887006,354,0.8667687595712098,0.9464882943143813,0.7994350282485876,354,0.5297297297297298,0.7313432835820896,0.4152542372881356,354,0.9177126917712692,0.90633608815427,0.9293785310734464,354,0.9191489361702128,0.9230769230769231,0.9152542372881356,354,0.8717948717948718,0.7981220657276995,0.96045197740113,354,0.9103260869565217,0.8769633507853403,0.9463276836158192,354,0.9075391180654339,0.9140401146131805,0.9011299435028248,354,0.6990049751243782,0.6244444444444445,0.7937853107344632,354,0.7735294117647058,0.8067484662576687,0.7429378531073446,354,0.8244282827266941,0.8334178807037421,0.8299435028248588,3540,0.824428282726694,0.8334178807037423,0.8299435028248587,3540,0.8299435028248587
7,D8,0.881868131868132,0.8582887700534759,0.9067796610169492,354,0.8494453248811411,0.9675090252707581,0.7570621468926554,354,0.5673534072900158,0.6462093862815884,0.5056497175141242,354,0.9228650137741048,0.9005376344086021,0.9463276836158192,354,0.9283667621776504,0.9418604651162791,0.9152542372881356,354,0.8578680203045684,0.7788018433179723,0.9548022598870056,354,0.914364640883978,0.8945945945945946,0.9350282485875706,354,0.9024390243902438,0.8671875,0.940677966101695,354,0.6888297872340425,0.6507537688442211,0.731638418079096,354,0.7710843373493976,0.8258064516129032,0.7231638418079096,354,0.8284484450153273,0.8331549439500396,0.831638418079096,3540,0.8284484450153276,0.8331549439500394,0.831638418079096,3540,0.831638418079096
8,ResNet18,0.7666195190947667,0.7677053824362606,0.7655367231638418,354,0.6702508960573476,0.9166666666666666,0.5282485875706214,354,0.4023494860499266,0.41896024464831805,0.3870056497175141,354,0.8415300546448088,0.8148148148148148,0.8700564971751412,354,0.8625730994152047,0.8939393939393939,0.8333333333333334,354,0.823841059602649,0.7755610972568578,0.8785310734463276,354,0.803191489361702,0.7587939698492462,0.8531073446327684,354,0.8694444444444445,0.855191256830601,0.884180790960452,354,0.5558139534883721,0.4723320158102767,0.6751412429378532,354,0.6656101426307449,0.7581227436823105,0.5932203389830508,354,0.7261224144789967,0.7432087585934746,0.7268361581920904,3540,0.7261224144789966,0.7432087585934747,0.7268361581920904,3540,0.7268361581920904
9,ResNet50,0.7021630615640599,0.854251012145749,0.596045197740113,354,0.449244060475162,0.9541284403669725,0.2937853107344633,354,0.3911439114391144,0.29041095890410956,0.5988700564971752,354,0.8110236220472441,0.7573529411764706,0.8728813559322034,354,0.8522238163558107,0.8658892128279884,0.8389830508474576,354,0.776255707762557,0.8415841584158416,0.7203389830508474,354,0.8127600554785022,0.7983651226158038,0.827683615819209,354,0.8452535760728218,0.7831325301204819,0.9180790960451978,354,0.5007680491551458,0.5488215488215489,0.4604519774011299,354,0.6785185185185184,0.7133956386292835,0.6468926553672316,354,0.6819354378868937,0.7407331564024249,0.6774011299435028,3540,0.6819354378868935,0.7407331564024249,0.6774011299435029,3540,0.6774011299435029
