,Model,barred spiral galaxies - f1-score,barred spiral galaxies - precision,barred spiral galaxies - recall,barred spiral galaxies - support,cigar shaped smooth galaxies - f1-score,cigar shaped smooth galaxies - precision,cigar shaped smooth galaxies - recall,cigar shaped smooth galaxies - support,disturbed galaxies - f1-score,disturbed galaxies - precision,disturbed galaxies - recall,disturbed galaxies - support,edge-on galaxies with bulge - f1-score,edge-on galaxies with bulge - precision,edge-on galaxies with bulge - recall,edge-on galaxies with bulge - support,edge-on galaxies without bulge - f1-score,edge-on galaxies without bulge - precision,edge-on galaxies without bulge - recall,edge-on galaxies without bulge - support,in-between round smooth galaxies - f1-score,in-between round smooth galaxies - precision,in-between round smooth galaxies - recall,in-between round smooth galaxies - support,merging galaxies - f1-score,merging galaxies - precision,merging galaxies - recall,merging galaxies - support,round smooth galaxies - f1-score,round smooth galaxies - precision,round smooth galaxies - recall,round smooth galaxies - support,unbarred loose spiral galaxies - f1-score,unbarred loose spiral galaxies - precision,unbarred loose spiral galaxies - recall,unbarred loose spiral galaxies - support,unbarred tight spiral galaxies - f1-score,unbarred tight spiral galaxies - precision,unbarred tight spiral galaxies - recall,unbarred tight spiral galaxies - support,macro avg - f1-score,macro avg - precision,macro avg - recall,macro avg - support,weighted avg - f1-score,weighted avg - precision,weighted avg - recall,weighted avg - support,Accuracy
10,WRN16d1d1d1,0.6628242074927954,0.6764705882352942,0.6497175141242938,354,0.26699029126213597,0.9482758620689655,0.1553672316384181,354,0.07465618860510805,0.12258064516129032,0.05367231638418079,354,0.7224080267558529,0.8852459016393442,0.6101694915254238,354,0.7728706624605679,0.875,0.692090395480226,354,0.47037037037037044,0.6827956989247311,0.3587570621468927,354,0.6902927580893683,0.7593220338983051,0.632768361581921,354,0.5171717171717172,0.9078014184397163,0.3615819209039548,354,0.3020408163265306,0.1843088418430884,0.8361581920903954,354,0.5568760611205432,0.6978723404255319,0.4632768361581921,354,0.5036501099654991,0.6739673330636267,0.4813559322033899,3540,0.503650109965499,0.6739673330636268,0.48135593220338985,3540,0.48135593220338985
11,WRN16d8d4d1,0.7743658210947931,0.7341772151898734,0.8192090395480226,354,0.302158273381295,1.0,0.17796610169491525,354,0.1057934508816121,0.4883720930232558,0.059322033898305086,354,0.8633720930232559,0.8892215568862275,0.8389830508474576,354,0.8218749999999999,0.9195804195804196,0.7429378531073446,354,0.7866507747318235,0.6804123711340206,0.9322033898305084,354,0.7943595769682726,0.6800804828973843,0.9548022598870056,354,0.850828729281768,0.8324324324324325,0.8700564971751412,354,0.5350877192982456,0.5545454545454546,0.5169491525423728,354,0.5847846012832264,0.43283582089552236,0.9011299435028248,354,0.6419276039944293,0.721165784658459,0.6813559322033897,3540,0.6419276039944293,0.721165784658459,0.6813559322033899,3540,0.6813559322033899
12,WRN16d8d4d4,0.8461538461538461,0.8881987577639752,0.807909604519774,354,0.8691860465116279,0.8952095808383234,0.844632768361582,354,0.4081632653061224,0.3111111111111111,0.5932203389830508,354,0.8190789473684211,0.9803149606299213,0.7033898305084746,354,0.8841544607190414,0.836272040302267,0.9378531073446328,354,0.75,0.8816793893129771,0.652542372881356,354,0.8930099857346647,0.9020172910662824,0.884180790960452,354,0.6666666666666666,0.9576719576719577,0.5112994350282486,354,0.6305931321540063,0.49917627677100496,0.8559322033898306,354,0.5641025641025642,0.934640522875817,0.403954802259887,354,0.7331108914716962,0.8086291888343637,0.7194915254237289,3540,0.7331108914716962,0.8086291888343636,0.7194915254237289,3540,0.7194915254237289
13,WRN28_10_c8c4c1,0.7914285714285714,0.8005780346820809,0.7824858757062146,354,0.7145359019264448,0.9400921658986175,0.576271186440678,354,0.35687732342007433,0.5217391304347826,0.2711864406779661,354,0.8124223602484472,0.7250554323725056,0.923728813559322,354,0.8386206896551723,0.8194070080862533,0.8587570621468926,354,0.7967097532314924,0.682092555331992,0.9576271186440678,354,0.7745664739884394,0.6555772994129159,0.9463276836158192,354,0.8529801324503311,0.8029925187032418,0.9096045197740112,354,0.588597842835131,0.6474576271186441,0.53954802259887,354,0.7117552334943639,0.8277153558052435,0.6242937853107344,354,0.7238494282678467,0.7422707127846276,0.7389830508474576,3540,0.7238494282678467,0.7422707127846278,0.7389830508474576,3540,0.7389830508474576
14,WRN28_10_d1d1d1,0.6304347826086957,0.6073298429319371,0.655367231638418,354,0.2591687041564792,0.9636363636363636,0.1497175141242938,354,0.026178010471204185,0.17857142857142858,0.014124293785310734,354,0.43956043956043955,0.9900990099009901,0.2824858757062147,354,0.5436893203883495,0.8695652173913043,0.3954802259887006,354,0.6153846153846154,0.6756756756756757,0.5649717514124294,354,0.6494960806270996,0.5380333951762524,0.8192090395480226,354,0.6116322701688556,0.9106145251396648,0.4604519774011299,354,0.3144385026737968,0.19393139841688653,0.8305084745762712,354,0.5839874411302982,0.657243816254417,0.5254237288135594,354,0.4673970167169834,0.6584700673094921,0.469774011299435,3540,0.4673970167169834,0.6584700673094921,0.469774011299435,3540,0.469774011299435
15,WRN28_10_d8d4d1,0.8538011695906432,0.8848484848484849,0.8248587570621468,354,0.8229813664596274,0.9137931034482759,0.748587570621469,354,0.43548387096774194,0.3385579937304075,0.6101694915254238,354,0.8755622188905547,0.9329073482428115,0.8248587570621468,354,0.8942172073342737,0.8929577464788733,0.8954802259887006,354,0.776073619631902,0.8489932885906041,0.7146892655367232,354,0.8847795163584636,0.8911174785100286,0.8785310734463276,354,0.8097412480974125,0.8778877887788779,0.751412429378531,354,0.6314432989690721,0.580568720379147,0.692090395480226,354,0.6912751677852348,0.8512396694214877,0.5819209039548022,354,0.7675358684084925,0.8012871622428998,0.7522598870056497,3540,0.7675358684084926,0.8012871622428999,0.7522598870056497,3540,0.7522598870056497
16,WRN28_7_d8d4d1,0.8513119533527697,0.8795180722891566,0.8248587570621468,354,0.7023172905525847,0.9516908212560387,0.556497175141243,354,0.4441964285714286,0.3671586715867159,0.5621468926553672,354,0.8762169680111265,0.863013698630137,0.8898305084745762,354,0.826302729528536,0.7367256637168141,0.940677966101695,354,0.7480190174326465,0.851985559566787,0.6666666666666666,354,0.8776371308016878,0.8739495798319328,0.8813559322033898,354,0.8343373493975904,0.8935483870967742,0.7824858757062146,354,0.6446043165467626,0.656891495601173,0.632768361581921,354,0.7707454289732771,0.7675070028011205,0.7740112994350282,354,0.7575688613168411,0.7841988952376651,0.7511299435028248,3540,0.7575688613168409,0.784198895237665,0.7511299435028248,3540,0.7511299435028248
17,WRN50_2,0.4760869565217391,0.3869257950530035,0.6186440677966102,354,0.0,0.0,0.0,354,0.1689989235737352,0.10438829787234043,0.4435028248587571,354,0.20100502512562815,0.9090909090909091,0.11299435028248588,354,0.25061425061425063,0.9622641509433962,0.1440677966101695,354,0.0,0.0,0.0,354,0.2057416267942584,0.671875,0.12146892655367232,354,0.17587939698492464,0.7954545454545454,0.09887005649717515,354,0.27443609022556387,0.4101123595505618,0.2062146892655367,354,0.42192921582234555,0.2796688132474701,0.8587570621468926,354,0.21746914856624455,0.45197798712122267,0.2604519774011299,3540,0.21746914856624458,0.45197798712122267,0.26045197740112996,3540,0.26045197740112996
18,c1resnet18,0.6350974930362117,0.6263736263736264,0.6440677966101694,354,0.3014354066985646,0.984375,0.17796610169491525,354,0.26622296173044924,0.32388663967611336,0.22598870056497175,354,0.8208556149732621,0.7791878172588832,0.867231638418079,354,0.8382352941176471,0.8742331288343558,0.8050847457627118,354,0.6910828025477707,0.791970802919708,0.6129943502824858,354,0.7274939172749392,0.6388888888888888,0.844632768361582,354,0.7993680884676145,0.9068100358422939,0.7146892655367232,354,0.41598119858989424,0.3561368209255533,0.5,354,0.5626911314984709,0.44019138755980863,0.7796610169491526,354,0.6058463908934824,0.6722054148279232,0.617231638418079,3540,0.6058463908934824,0.6722054148279233,0.617231638418079,3540,0.617231638418079
19,c2resnet50,0.6976744186046512,0.6155507559395248,0.8050847457627118,354,0.17766497461928935,0.875,0.09887005649717515,354,0.16036308623298035,0.17263843648208468,0.1497175141242938,354,0.7723342939481268,0.788235294117647,0.7570621468926554,354,0.8161559888579387,0.804945054945055,0.827683615819209,354,0.5681818181818181,0.8620689655172413,0.423728813559322,354,0.7776261937244201,0.7519788918205804,0.8050847457627118,354,0.7453625632377741,0.9246861924686193,0.6242937853107344,354,0.4218123496391339,0.2945128779395297,0.7429378531073446,354,0.6014388489208634,0.6129032258064516,0.5903954802259888,354,0.5738614535966996,0.6702519695036734,0.5824858757062148,3540,0.5738614535966996,0.6702519695036735,0.5824858757062147,3540,0.5824858757062147
20,c4resnet18,0.7975830815709971,0.8571428571428571,0.7457627118644068,354,0.7102473498233216,0.9481132075471698,0.5677966101694916,354,0.19070904645476772,0.7090909090909091,0.11016949152542373,354,0.826086956521739,0.7546728971962616,0.9124293785310734,354,0.8321377331420373,0.8454810495626822,0.8192090395480226,354,0.8337595907928388,0.7616822429906542,0.9209039548022598,354,0.8601864181091877,0.8136020151133502,0.9124293785310734,354,0.761744966442953,0.9380165289256198,0.6412429378531074,354,0.5099099099099099,0.37433862433862436,0.7994350282485876,354,0.6924137931034483,0.6765498652291105,0.7090395480225988,354,0.7014778845871201,0.7678690197137239,0.7138418079096045,3540,0.70147788458712,0.7678690197137239,0.7138418079096045,3540,0.7138418079096045
21,c4resnet50,0.8026143790849672,0.7469586374695864,0.867231638418079,354,0.6468401486988847,0.9456521739130435,0.4915254237288136,354,0.30924369747899155,0.3817427385892116,0.2598870056497175,354,0.8658698539176627,0.8170426065162907,0.9209039548022598,354,0.8856304985337243,0.9207317073170732,0.8531073446327684,354,0.7836990595611286,0.8802816901408451,0.7062146892655368,354,0.8559322033898306,0.8559322033898306,0.8559322033898306,354,0.8994082840236686,0.9440993788819876,0.8587570621468926,354,0.5378640776699029,0.40976331360946744,0.7824858757062146,354,0.7338129496402878,0.7478005865102639,0.7203389830508474,354,0.7320915151999049,0.7650005036337599,0.731638418079096,3540,0.7320915151999049,0.76500050363376,0.731638418079096,3540,0.731638418079096
22,d1resnet18,0.7257142857142859,0.7341040462427746,0.7175141242937854,354,0.6714801444043322,0.93,0.5254237288135594,354,0.2119815668202765,0.575,0.12994350282485875,354,0.803370786516854,0.7988826815642458,0.807909604519774,354,0.803125,0.8986013986013986,0.7259887005649718,354,0.8032786885245902,0.7777777777777778,0.8305084745762712,354,0.756563245823389,0.6549586776859504,0.8954802259887006,354,0.8588410104011888,0.9059561128526645,0.8163841807909604,354,0.492018779342723,0.36849507735583686,0.7401129943502824,354,0.6912568306010929,0.6693121693121693,0.7146892655367232,354,0.6817630338148734,0.7313087941392817,0.6903954802259886,3540,0.6817630338148734,0.7313087941392817,0.6903954802259887,3540,0.6903954802259887
23,d4resnet18,0.8183079056865465,0.8038147138964578,0.8333333333333334,354,0.6019417475728155,0.9627329192546584,0.4378531073446328,354,0.3701754385964912,0.2684478371501272,0.596045197740113,354,0.8753709198813057,0.921875,0.8333333333333334,354,0.8819345661450925,0.8882521489971347,0.8757062146892656,354,0.624561403508772,0.8240740740740741,0.5028248587570622,354,0.8757225433526012,0.8964497041420119,0.8559322033898306,354,0.663023679417122,0.9333333333333333,0.5141242937853108,354,0.6177606177606179,0.5673758865248227,0.6779661016949152,354,0.7469553450608932,0.7168831168831169,0.7796610169491526,354,0.7075754166982258,0.7783238734255736,0.690677966101695,3540,0.7075754166982258,0.7783238734255737,0.690677966101695,3540,0.690677966101695
24,densenet121,0.4363957597173145,0.31748071979434445,0.6977401129943502,354,0.005633802816901409,1.0,0.002824858757062147,354,0.14193548387096774,0.2972972972972973,0.09322033898305085,354,0.642089093701997,0.7037037037037037,0.5903954802259888,354,0.7246790299572039,0.7319884726224783,0.7175141242937854,354,0.005633802816901409,1.0,0.002824858757062147,354,0.5714285714285715,0.8771929824561403,0.423728813559322,354,0.39232409381663114,0.8,0.2598870056497175,354,0.22294022617124398,0.26037735849056604,0.19491525423728814,354,0.36836283185840707,0.22902338376891335,0.940677966101695,354,0.35114226961561396,0.6217063918133443,0.39237288135593223,3540,0.351142269615614,0.6217063918133443,0.3923728813559322,3540,0.3923728813559322
