,Model,barred spiral galaxies - f1-score,barred spiral galaxies - precision,barred spiral galaxies - recall,barred spiral galaxies - support,cigar shaped smooth galaxies - f1-score,cigar shaped smooth galaxies - precision,cigar shaped smooth galaxies - recall,cigar shaped smooth galaxies - support,disturbed galaxies - f1-score,disturbed galaxies - precision,disturbed galaxies - recall,disturbed galaxies - support,edge-on galaxies with bulge - f1-score,edge-on galaxies with bulge - precision,edge-on galaxies with bulge - recall,edge-on galaxies with bulge - support,edge-on galaxies without bulge - f1-score,edge-on galaxies without bulge - precision,edge-on galaxies without bulge - recall,edge-on galaxies without bulge - support,in-between round smooth galaxies - f1-score,in-between round smooth galaxies - precision,in-between round smooth galaxies - recall,in-between round smooth galaxies - support,merging galaxies - f1-score,merging galaxies - precision,merging galaxies - recall,merging galaxies - support,round smooth galaxies - f1-score,round smooth galaxies - precision,round smooth galaxies - recall,round smooth galaxies - support,unbarred loose spiral galaxies - f1-score,unbarred loose spiral galaxies - precision,unbarred loose spiral galaxies - recall,unbarred loose spiral galaxies - support,unbarred tight spiral galaxies - f1-score,unbarred tight spiral galaxies - precision,unbarred tight spiral galaxies - recall,unbarred tight spiral galaxies - support,macro avg - f1-score,macro avg - precision,macro avg - recall,macro avg - support,weighted avg - f1-score,weighted avg - precision,weighted avg - recall,weighted avg - support,Accuracy
0,C16,0.19062832800851967,0.11745406824146981,0.5056497175141242,354,0.022284122562674095,0.8,0.011299435028248588,354,0.14446952595936796,0.3595505617977528,0.0903954802259887,354,0.29545454545454547,0.7558139534883721,0.18361581920903955,354,0.6996466431095406,0.9339622641509434,0.559322033898305,354,0.038781163434903045,1.0,0.01977401129943503,354,0.6373626373626374,0.7173144876325088,0.5734463276836158,354,0.5993788819875777,0.6655172413793103,0.5451977401129944,354,0.3404255319148936,0.2360655737704918,0.6101694915254238,354,0.3022774327122153,0.5658914728682171,0.2062146892655367,354,0.3270708812506875,0.6151569623329065,0.3305084745762711,3540,0.32707088125068745,0.6151569623329066,0.3305084745762712,3540,0.3305084745762712
1,C2,0.31527890056588526,0.22083805209513024,0.5508474576271186,354,0.04918032786885246,0.75,0.025423728813559324,354,0.17537942664418216,0.2175732217573222,0.14689265536723164,354,0.5075528700906343,0.39436619718309857,0.711864406779661,354,0.4887218045112782,0.7303370786516854,0.3672316384180791,354,0.16708860759493674,0.8048780487804879,0.09322033898305085,354,0.5142857142857143,0.3879310344827586,0.7627118644067796,354,0.6129032258064516,0.8382352941176471,0.4830508474576271,354,0.3369863013698631,0.3271276595744681,0.3474576271186441,354,0.3226837060702875,0.3713235294117647,0.2853107344632768,354,0.34900608848080855,0.5042610116054363,0.37740112994350283,3540,0.3490060884808085,0.5042610116054362,0.37740112994350283,3540,0.37740112994350283
2,C4,0.21797986810135367,0.12425801345468936,0.8870056497175142,354,0.0,0.0,0.0,354,0.12719298245614036,0.28431372549019607,0.08192090395480225,354,0.0,0.0,0.0,354,0.658578856152513,0.852017937219731,0.536723163841808,354,0.27088036117381487,0.6741573033707865,0.1694915254237288,354,0.3822937625754528,0.6643356643356644,0.268361581920904,354,0.1933842239185751,0.9743589743589743,0.10734463276836158,354,0.28096676737160126,0.30194805194805197,0.2627118644067797,354,0.07792207792207792,0.16666666666666666,0.05084745762711865,354,0.2209198899671529,0.40420563368447604,0.23644067796610174,3540,0.2209198899671529,0.40420563368447604,0.2364406779661017,3540,0.2364406779661017
3,C8,0.2901385493072534,0.20389461626575028,0.5028248587570622,354,0.0,0.0,0.0,354,0.13709677419354838,0.23943661971830985,0.096045197740113,354,0.6276150627615062,0.6198347107438017,0.635593220338983,354,0.7720685111989458,0.7234567901234568,0.827683615819209,354,0.022284122562674095,0.8,0.011299435028248588,354,0.568,0.5378787878787878,0.6016949152542372,354,0.32229580573951433,0.7373737373737373,0.2062146892655367,354,0.3097861309138043,0.20100925147182505,0.6751412429378532,354,0.14218009478672985,0.4411764705882353,0.0847457627118644,354,0.31914650514639764,0.4504060984163904,0.36412429378531075,3540,0.3191465051463976,0.45040609841639045,0.36412429378531075,3540,0.36412429378531075
4,D16,0.2147477360931436,0.13926174496644295,0.4689265536723164,354,0.005633802816901409,1.0,0.002824858757062147,354,0.1572052401746725,0.34615384615384615,0.1016949152542373,354,0.46861924686192463,0.9032258064516129,0.3163841807909605,354,0.6941896024464832,0.7566666666666667,0.6412429378531074,354,0.07027027027027027,0.8125,0.03672316384180791,354,0.6084583901773534,0.5883905013192612,0.6299435028248588,354,0.6146527117031398,0.4634146341463415,0.9124293785310734,354,0.36741214057507987,0.4227941176470588,0.3248587570621469,354,0.4351050679851669,0.3868131868131868,0.4971751412429379,354,0.3636294209104135,0.5819220504164417,0.39322033898305087,3540,0.36362942091041356,0.5819220504164417,0.39322033898305087,3540,0.39322033898305087
5,D2,0.27714932126696834,0.17326732673267325,0.692090395480226,354,0.022284122562674095,0.8,0.011299435028248588,354,0.15413533834586468,0.2303370786516854,0.11581920903954802,354,0.5628272251308901,0.524390243902439,0.6073446327683616,354,0.6071428571428571,0.8252427184466019,0.480225988700565,354,0.059620596205962065,0.7333333333333333,0.031073446327683617,354,0.4138817480719794,0.37971698113207547,0.4548022598870056,354,0.5150905432595573,0.8951048951048951,0.3615819209039548,354,0.3500967117988394,0.2661764705882353,0.5112994350282486,354,0.12410501193317423,0.4,0.07344632768361582,354,0.3086333475718767,0.5227569047891939,0.3338983050847458,3540,0.30863334757187666,0.5227569047891938,0.3338983050847458,3540,0.3338983050847458
6,D4,0.3194355355997434,0.20663900414937758,0.7033898305084746,354,0.0,0.0,0.0,354,0.15145631067961166,0.2422360248447205,0.11016949152542373,354,0.6380368098159509,0.5639913232104121,0.7344632768361582,354,0.7216494845360825,0.9210526315789473,0.5932203389830508,354,0.2610722610722611,0.7466666666666667,0.15819209039548024,354,0.5448504983388704,0.6612903225806451,0.4632768361581921,354,0.5401069518716578,0.5126903553299492,0.5706214689265536,354,0.2900107411385607,0.2339688041594454,0.3813559322033898,354,0.20588235294117646,0.29473684210526313,0.15819209039548024,354,0.3672500945993915,0.43832719746254273,0.38728813559322034,3540,0.3672500945993915,0.4383271974625426,0.38728813559322034,3540,0.38728813559322034
7,D8,0.25267249757045673,0.1925925925925926,0.3672316384180791,354,0.0,0.0,0.0,354,0.09870129870129869,0.6129032258064516,0.05367231638418079,354,0.6169965075669384,0.5247524752475248,0.748587570621469,354,0.5557809330628802,0.9856115107913669,0.3870056497175141,354,0.2216867469879518,0.7540983606557377,0.12994350282485875,354,0.6472642607683353,0.5504950495049505,0.7853107344632768,354,0.5950266429840142,0.4339378238341969,0.9463276836158192,354,0.3434343434343434,0.6028368794326241,0.2401129943502825,354,0.52018779342723,0.38959212376933894,0.7824858757062146,354,0.3851751024503449,0.5046820041634785,0.44406779661016954,3540,0.3851751024503449,0.5046820041634784,0.4440677966101695,3540,0.4440677966101695
8,ResNet18,0.03314917127071824,0.75,0.01694915254237288,354,0.0,0.0,0.0,354,0.0,0.0,0.0,354,0.27576470588235297,0.16544325239977414,0.827683615819209,354,0.04289544235924933,0.42105263157894735,0.022598870056497175,354,0.05434782608695652,0.7142857142857143,0.02824858757062147,354,0.269449715370019,0.17359413202933985,0.6016949152542372,354,0.3703703703703704,0.8095238095238095,0.2401129943502825,354,0.09523809523809523,0.4222222222222222,0.05367231638418079,354,0.3319148936170213,0.3333333333333333,0.3305084745762712,354,0.1473130220194783,0.3789455095373141,0.2121468926553672,3540,0.1473130220194783,0.37894550953731404,0.21214689265536724,3540,0.21214689265536724
9,ResNet50,0.017204301075268817,0.036036036036036036,0.011299435028248588,354,0.0,0.0,0.0,354,0.0,0.0,0.0,354,0.0,0.0,0.0,354,0.005633802816901409,1.0,0.002824858757062147,354,0.0,0.0,0.0,354,0.2259728082512893,0.13546936481169197,0.6807909604519774,354,0.005479452054794521,0.09090909090909091,0.002824858757062147,354,0.13996316758747696,0.10382513661202186,0.21468926553672316,354,0.24603174603174607,0.17108167770419427,0.4378531073446328,354,0.0640285277817477,0.1537321306073035,0.13502824858757062,3540,0.06402852778174771,0.1537321306073035,0.13502824858757062,3540,0.13502824858757062
